Id,X1,y
104,"Abgabe der Liegenschaft W2383, Mövenstrasse, im Baurecht",16
105,Totalrevision des Polizeireglements,15
106,"SpiKi - Überprüfung, Anpassungen und Erweiterung des heutigen Konzepts",7
107,St.Gallen – Bogenstrasse; Erneuerung der Wasser-Transportleitung sowie der Erdgas-Hochdruckleitung in der Bogenstrasse; Abschnitt Bogenstrasse 10 bis Rosenbergstrasse 95; Zusatzkredit,10
108,VBSG-Linie 12; Diagonallinie Bahnhof - Klosterviertel - Steinachstrasse - Heiligkreuz - Bruggwald - Abacus-Platz,13
109,Ersatz der Autobusflotte; Erteilung eines Zusatzkredites,14
110,Olma Messen St.Gallen - Erneuerung des Darlehens,6
111,"Bürglistrasse 8, Sanierung Wohnungen und Gewerberäume",2
112,Bericht der ständigen parlamentarischen Kommissionen zu Vorstössen des Jahres 2015 gemäss Partizipationsreglement,0
113,"Zonenplanänderung und Erlass eines Gestaltungsplanes ""Vogelherd Nord""",16
114,"Fuss- und Veloverkehr, Sofortmassnahmen (2018 - 2020); Verpflichtungskredit",13
115,Massnahmen zur Realisierung einer gemeindenahen Palliative Care,7
116,Nachtrag II zum Reglement über die Pensionskasse der Stadt St.Gallen vom 30. April 2013 - Namensänderung der Pensionskasse,11
117,Erschliessung der Baulandreserve an der Martinsbruggstrasse; Projekt- und Kreditgenehmigung sowie Erlass der Zonenplanänderung Martinsbrugg-Schachen,16
118,"Neugestaltung von Bohl, Marktplatz und Blumenmarkt sowie Projekt Parkhaus Schibenertor; Konzept, weiteres Vorgehen und Wettbewerbsverfahren",16
119,Geschäftsbericht 2014 der Ombudsstelle Stadt St.Gallen,6
120,Subventionserhöhung Suchtfachstelle,6
121,"Langgasse, Buswendeplatz Heiligkreuz, Ausbau; Verpflichtungskredit",16
122,Voranschlag 2016,2
123,Neubau Transformatorenstation für Überbauung «Vier Winkel» mit Einbindung in die Leitungsnetze; Verpflichtungskredit,10
124,"Frauenbad Dreilinden, statische Sanierung; Verpflichtungskredit",8
125,"Zonenplanänderung und Gestaltungsplan ""Sonnenstrasse""",16
126,"Neugestaltung Sonnenhaldenstrasse, Abschnitt Lessingstrasse bis Goethestrasse; Projekt- und Kreditgenehmigung sowie Zonenplanänderung",16
127,Datenbearbeitung und Betriebliches Case Management (BCM); Nachtrag VI zum Personalreglement (sRS 191.1; abgekürzt PR),11
128,St.Gallen - Gädmen; Erneuerung der Elektrizitätsversorgung,10
129,"St.Gallen – Rosenbergstrasse; Erneuerung Wassertransportleitung, Wasserverteilleitung, Erdgas-Mitteldruckleitung Rosenbergstrasse, Abschnitt Schlösslitreppe bis Haus Nr. 32 Erweiterung Kabelschutzrohranlage, Neubau Trafostationsvorschacht Telltreppe; Verpflichtungskredit",10
130,Erlass eines Partizipationsreglements,0
131,Trinkwasserversorgung in Notlagen (Pumpwerkanlage Breitfeld),10
132,Änderung von Bauordnung und Zonenplan; Einführung von Wohnzonen mit besonderen Anforderungen und Schutz von Einfamilienhausgebieten; Nachtrag I zur Bauordnung,16
133,"Feuerwehr und Zivilschutz St.Gallen, Berufsfeuerwehr Notkerstrasse 44, Sanierung und Erweiterung Betriebsgebäude; Zusatzkredit",15
134,Erteilung des Gemeinde- und Ortsbürgerrecht a) Einbürgerungsrat St.Gallen b) Einbürgerungsrat St.Gallen-Tablat c) Einbürgerungsrat St.Gallen-Straubenzell,0
135,"Gallusstrasse 39, Instandstellung Gebäude und Sanierung Restaurant ""Facincani""",2
136,Anpassung Sparbeiträge; Nachtrag III zum Reglement über die Pensionskasse der Stadt St.Gallen (Pensionskassenreglement PKR; 194.1),11
137,"Überbauungs- und Gestaltungsplan ""Einstein Kongress"" mit besonderen Vorschriften",16
138,Beschaffung Elektrobus für die Linie 10 - Verpflichtungskredit,14
139,Neugestaltung und Instandstellung des Strassenraumes der Zürcher Strasse zwischen Stahlstrasse und Rechenstrasse sowie Erneuerung der Ver- und Entsorgungsleitungen,16
140,Schulanlage Krontal; Sanierung und Nutzungsanpassung,5
141,Aufhebung des Reglements über das Wechselnotariat der Stadt St.Gallen vom 25. Januar 1966 (sRS 912.1),11
142,"Pavillon und Villa Primarschule Oberzil, Fassadensanierung und betriebliche Optimierung; Ausführungskredit",5
143,Aufhebung des Reglements über den Schutz vor sexueller Belästigung am Arbeitsplatz vom 29. Oktober 2002,11
144,Fussgängerverbindungen vom Bohl zum Kulturviertel,13
145,Geschäftsbericht 2020 der Verkehrsbetriebe St.Gallen (VBSG),14
146,Initiativbegehren «Für ein gesundes Stadtklima (Gute-Luft-Initiative)»; Antrag auf Ablehnung und Gegenvorschlag,0
147,Massnahmen zur Verbesserung der Wasserqualität der Steinach; 1. Sanierungsetappe zur Werterhaltung und Optimierung der Leistung der Abwasserreinigungsanlage (ARA) Hofen,1
148,Unterstützungsbeitrag an die Spitex-Leistungsvereinbarungspartner für das Jahr 2003,7
149,St.Gallen - Ruckhalde; Ruhbergstrasse bis Langweidstrasse; Neubau einer Wasserleitung (Querverbindung Ruckhalde),10
150,Regenrückhaltebecken Zwinglistrasse 2 + 4 (ehemaliges Kino Rex),1
151,Änderung von Bauordnung und Zonenplan für die Einfamilienhausgebiete,16
152,Sanierung der Aussenhülle der Primarschule Grossacker sowie Erstellung einer Solarstromanlage,5
153,Unterstützung des St.Gallerfestes 2015,3
154,Verlängerung Materialtransportbahn RopeCon; Verpflichtungskredit,1
155,Reglement über Massnahmen gegen Gewalt anlässlich von Sportveranstaltungen,15
156,"Lagerhausareal Umgebungsarbeiten, Projektierung und Ausführung; Erteilung eines Verpflichtungskredits",2
157,Heroingestützte Behandlung in der medizinisch-sozialen Hilfsstelle (MSH 1),6
158,Teilrevision des Feuerschutzreglements (Nachtrag V),15
159,Deponie Tüfentobel; Erweiterung Inertstoffkompartiment; Verpflichtungskredit,1
160,Fanarbeit unter dem Dach des „Vereins für sozioprofessionelle Fanarbeit FC St.Gallen“; Ergebnisse Pilotprojekt und Vorgehen ab dem Jahr 2015,15
161,Voranschlag 2002 der Sankt Galler Stadtwerke in neuem Kontenplan,2
162,Nachtrag XIII zum Personalreglement: Lohnzahlung bei Geburt und Mutterschaftsentschädigung,11
163,"Festlegung der Grünzonen ""Stadtpark"" und ""Kantonsschulpark""",16
164,"Jubiläum „St.Gallen 500 Jahre Reformation“, 2017 bis 2018; Projekte mit städtischem Bezug; Verpflichtungskredit und Nachtragskredit (2099.36510)",3
165,"Fuss- und Veloverkehr, Unterstützung der Fachstelle (2014 - 2016) und Sofortmassnahmen (2015 - 2017); Verpflichtungskredit",16
166,Oberstrasse; Ausbau und Instandstellung von der Hechtackerstrasse bis zum Haggenhaldenweg,16
167,Kehrichtheizkraftwerk (KHK): Instandhaltung der Anlage und der Infrastrukturerneuerung; Rahmenkredit,1
168,Kinderkrippen - Anpassung des Kostendeckenden Tagessatzes,7
169,Ehrenamtliches Engagement und Freiwilligenarbeit,7
170,Subventionserhöhung 2014 Naturmuseum,3
171,Kreditüberschreitungen im Rechnungsjahr 2020,2
172,Übertragung von Druckreduktions- und Messstationen (DRM-Stationen) der Erdgas Ostschweiz AG an die Stadt St.Gallen,10
173,Provisorium der Freihandbibliothek in der Hauptpost,3
174,Schulorganisation 2007,5
175,Ersatzwahl Verwaltungsrat der SN Energie AG; Wahlvorschlag CVP / EVP / BDP - Fraktion bis zur Generalversammlung 2017,10
176,"Wohnhaus Oberstrasse 227/229, Sanierung mit Anpassung zur Nutzung für betreute Wohngemeinschaften; Verpflichtungskredit",2
177,"Hallenbad Blumenwies: Sanierung und Erweiterung, Wettbewerbsverfahren und Vorprojekt mit Kostenermittlung",8
178,Wohnliegenschaft Bedastrasse 12; Fassadensanierung,2
179,Wahl des Ratssekretär-Stellvertreters des Stadtparlaments,11
180,Bereinigungen der neuen Bauordnung und des revidierten Zonenplanes,16
181,Studienauftrag für die Erweiterung des VBSG-Depots,14
182,Geschäftsbericht Stadt St.Gallen 2019,9
183,Initiativbegehren „Für einen autofreien Marktplatz“; Bericht und Antrag des Stadtrates,0
184,Update des PC-Betriebssystems und sämtlicher Softwareversionen (CUBO),4
185,Die Modernisierung der Stadtverwaltung,4
186,Erweiterung biologische Abwasserreinigung und flankierende Projekte; Verpflichtungskredit,1
187,"Oberhofstettenstrasse, Erneuerung von der Guggerstrasse bis zum Wendeplatz; Zusatzkredit für den Ausbau des Wendeplatzes",16
188,Energieversorgung Stadion / Einkaufszentrum West; Erschliessung mit Elektrizität,10
189,"Sanierung der Wohnliegenschaft ""Adler"" St.Georgen-Strasse 82, 84, Wiesenstrasse 49",2
190,Totalrevision des Reglements über den Energiefonds,10
191,Zonenplanänderungen Falkensteig und Iddastrasse,16
192,Tagesstruktur für die städtischen Kindergärten und die Volksschule,5
193,Neugestaltung der Lämmlisbrunnenstrasse,16
194,"Erneuerung des Mischwasserkanals in der Tannenstrasse, Abschnitt Eichenstrasse bis Guisanstrasse",1
195,"Überbauungs- und Gestaltungsplan ""Einstein Kongress"" mit besonderen Vorschriften",16
196,"Kesselhalden-Guggeien-Höchst, Abgabe von Grundstücken im Baurecht sowie vorzeitige Verlängerungen von bestehenden Baurechten an die Stiftung für Wohnungshilfe St.Gallen sowie die Baugenossenschaft VHTL St.Gallen",2
197,Erweiterung der Wasserversorgung im Gebiet Kammelenberg / Laderen,10
198,Schulanlage Feldli; Sanierung,5
199,"Tempelackerstrasse, Rückbau zu einem Fuss- und Radweg von der Flurhofstrasse bis zur Bedastrasse; Projekt- und Kreditgenehmigung / Teilstrassenplan",16
200,Rahmenkredit für das Sanierungsprogramm der Elektrizitätsversorgung,2
201,Organisation des Zivilschutzes,6
202,Reservoirs; Ersatz Reservoir und Pumpwerk Speicherstrasse; Zusatzkredit,10
203,"Direktion Inneres und Finanzen/Fachstelle Kultur; Ausgehende laufende Beiträge; Bibliotheken, Ludotheken; Subventionserhöhung Stiftsbibliothek (2094.36100)",3
204,Wiederwahl des Leiters der Finanzkontrolle,11
205,Abgabe der Liegenschaft Felsenstrasse 31 im Baurecht,16
206,Eröffnung eines Freiwilligen Schulhausangebotes im Schulquartier Grossacker,5
207,"Abgabe der Liegenschaften Hinterberg 26 - 32, Hinterberg 53 - 57 sowie Wiesentalstrasse 6a - c im Baurecht im Rahmen des ""12-Mio.-Kredites""",16
208,Erhöhung der Subventionssumme für Spitex-Dienstleistungen,7
209,Geschäftsbericht 2012; Allgemeiner Rechenschaftsbericht des Stadtrats sowie Geschäftsbericht 2012 Ombudsstelle,9
210,Talentschule St.Gallen,5
211,Oberstufenzentrum Zil; Sanierung der Schulküche im Untergeschoss und Orientierung über die Sanierung der Decken in den Zimmern und Korridoren als gebundene Ausgabe,5
212,Bau einer neuen Transformatorenstation Kongresszentrum Einstein samt Eingliederung in die Leitungsnetze,10
213,"Überbauungsplan und Zonenplanänderung ""Maestrani""",16
214,Fernwärmeversorgung; Abrechnung,10
215,Erneuerung der Trolleybusfahrleitungen,14
216,"St. Gallen - Zürcher Strasse; Erneuerung der Wassertransportleitung und der Erdgasniederdruckleitung in der Zürcherstrasse, Abschnitt Fürstenlandstrasse bis zur Fürstenlandbrücke",10
217,Altstadt-Ringbus,13
218,Voranschlag 2008,2
219,Stiftung Zeitvorsorge: Berichterstattung über den Aufbau und den operativen Betrieb bis Ende 2016,7
220,Geschäftsbericht 2014,9
221,"Primarschule Feldli-Schoren, Provisorium Betreuung und Mittagstisch, Verpflichtungskredit für die Projektierung und Realisierung",5
222,Gewalt ist nicht Privatsache,15
223,Neubau Transformatorenstation Obere Weid mit Eingliederung der Leitungsnetze,10
224,"Freibad Rotmonten, Sanierung der Wasseraufbereitung und der Beckenbereiche; Kreditfreigabe und Zusatzkredit",8
225,Polysportives Zentrum Ostschweiz (PZO); Stand der Projektierung und Entscheid über das weitere Vorgehen,8
226,Einbau eines Strassenwärtermagazins an der Taubenstrasse 7,4
227,Eröffnung eines Freiwilligen Schulhausangebotes im Schulquartier Schönenwegen / Lachen,5
228,Schulanlage Krontal; Sanierung und Nutzungsanpassung,5
229,Erlass eines Nachtrags I zum Friedhofreglement vom 19. November 1991 (sRS 415.1),15
230,Abfalltrennung in der Innenstadt - Berichterstattung zum Jugendlichenvorstoss,1
231,Aufwertung und Neugestaltung des Bahnhofplatzes und Nachtrag zur Vorlage vom 21. August 2012,16
232,Kreuzbleiche Platz 3; Neubau des Rasenspielfeldes,8
233,Gewährung eines Baubeitrages an den Verein Altersheim Rotmonten für die Erweiterung des Altersheims,7
234,"Kindergarten Kesselhaldenstrasse 64, energetische Sanierung; Verpflichtungskredit",5
235,Abfallbereitstellung in Unterflurbehältern (UFB),1
236,Neuorganisation und neue Schwerpunkte der Stabsstelle für Wirtschaftsförderung,6
237,"Initiative ""Für den Schutz des Grünen Rings""",0
238,Sanierung von drei Kindergärten und fünf Doppelkindergärten; Erteilung eines Rahmenkredites,5
239,"Steinach, Abschnitt St.Georgen-Strasse 113-120, Renaturierung; Verpflichtungskredit",16
240,"St.Gallen - Zürcher Strasse; Erneuerung der Wasserverteilleitungen sowie Neubau einer Wasser-Transportleitung in der Zürcher Strasse, Abschnitt Lerchenfeld- bis Erlachstrasse",10
241,Einführung eines Wasser-Rappens zur Unterstützung von Projekten im Ausland,10
242,"Erschliessung Oberstocken, Meteorwasserkanal, Erweiterung sowie Erneuerung und Sanierung",1
243,Schulanlage Krontal; Sanierung und Nutzungsanpassung,5
244,Freiwillige Aufgabenhilfe für Schülerinnen und Schüler städtischer Primar- und Realklassen,5
245,"Freibad Rotmonten; Sanierung der Wasseraufbereitung und der Beckenbereiche, Zusatzprojektierung für einen Umbau auf biologische Wasseraufbereitung",8
246,Teilrevision Polizeireglement; Nachtrag I,15
247,Bericht der ständigen parlamentarischen Kommissionen zu Vorstössen des Jahres 2018 gemäss Partizipationsreglement,0
248,Projektierung und Bau von Nahwärmeverbunden und Lancierung des Contracting-Geschäftes; Rahmenkredit,10
249,"Sportanlage Halden, Sanierung Kunstrasen und Beleuchtung; Verpflichtungskredit",8
250,Wiederwahl des Stadtschreibers und des stellvertretenden Sekretärs des Stadtparlaments,11
251,"Hinterlauben, Instandstellung und Neugestaltung",16
252,Vom Kindergarten in die Schule; Flächendeckende Einführung eines Einschulungsmodells in der Stadt St.Gallen,5
253,ÖV-Eigentrassierung an der Bogenstrasse,16
254,Aufwertung der Poststrasse,16
255,Budgetprozess und finanzielle Führung,2
256,St. Gallen - Neuerschliessung des Areals Maestrani mit Erdgas; Zusatzkredit,10
257,Rechnung der Stadt St.Gallen 2019,2
258,"Bau einer Curlinghalle im Lerchenfeld, städtischer Kostenanteil; Zusatzkredit",8
259,Anpassung des Gebührenrahmens für die Pendler-Parkbewilligung,13
260,Sanierung und Erweiterung der Schulanlage Buchental; Erteilung eines Ausführungskredites,5
261,"St.Gallen – Dietlistrasse; Erneuerung der Wasserverteilleitung in der Dietlistrasse, Abschnitt Schorenstrasse bis Hätterenweg; Verpflichtungskredit",10
262,"St.Gallen – Birnbäumenstrasse; Erneuerung der Wasser-Verteilleitung und ihrer Wasser-Anschlussleitungen sowie Neubau einer Erdgas-Niederdruckleitung in der Birnbäumenstrasse, Abschnitt Flurhofstrasse bis Goldbrunnenweg; Verpflichtungskredit",10
263,Voranschlag 2010 und Bericht zum Voranschlag 2011,2
264,Abschlussprojekt für die Deponie Tüfentobel,1
265,Bahnhofplatz; Aufwertung und Neugestaltung; 2. Bericht,16
266,Inventar der schützenswerten Bauten ausserhalb der Altstadt; weiteres Vorgehen,16
267,Anpassung des Gasttaxenreglements,6
268,St.Gallen – Steinachstrasse; Sonnenstrasse bis Frohbergstrasse; Erneuerung der Mitteldruck-Erdgasleitung; Zusatzkredit,10
269,Betriebsbeitrag an die Stiftung für Arbeit für die Jahre 2003 bis 2005,7
270,Sanierung und Ausbau der öffentlichen Toiletten-Anlagen; Erteilung eines Rahmenkredites,1
271,"St.Gallen – Gotthelfstrasse / Gessnerweg; Neubau der Erdgas-Mitteldruckleitung in der Gotthelfstrasse und im Gessnerweg, Abschnitt Bitzistrasse bis St.Georgen-Strasse; Verpflichtungskredit",10
272,Rahmenkredit 2016 für das Sanierungsprogramm der Elektrizitätsversorgung,2
273,"Liegenschaft Webergasse 26, Wohn- und Geschäftshaus, Gesamtsanierung; Projektänderungen und Zusatzkredit",4
274,Erlass einer neuen Gemeindeordnung; 1. Lesung,6
275,Nachtrag V zur Gemeindeordnung - Wahl des Stadtpräsidiums und der übrigen Mit-glieder des Stadtrates in Übereinstimmung mit dem Gemeindegesetz von 2009,6
276,Behindertengerechtes Bauen in der Stadt St.Gallen,16
277,"Kreuzbleiche ""Fortunaplatz""; Neuaufbau des Rasenspielfeldes mit Beleuchtung",8
278,"Neuer Richtplan der Stadt St.Gallen; Grundlegung, Vorgehen und Planungskredit",16
279,"St.Gallen – Bernhardswiesstrasse; Haggenhaldenstrasse bis Hechtackerstrasse; Erneuerung der Wasserversorgungsleitung, Verpflichtungskredit",10
280,Weiterzug von Verfügungen und Entscheiden unterer Instanzen,4
281,"Sportanlage Gründenmoos, Sanierung des Tribünen- und Garderobengebäudes sowie Erstellung einer Solarstromanlage",8
282,Genehmigung des Richtplanes der Stadt St.Gallen,16
283,Solarstromanlage Schönenwegen auf Dach Neubau Schulhaus,10
284,"Primarschule Hebel-Bach, Neubau Betreuung und Mittagstisch, Verpflichtungskredit für einen Wettbewerb mit Vorprojekt",5
285,"Überbauungsplan, Zonenplanänderung und Erschliessungsprojekt ""Güterbahnhof""",16
286,Pilotinstallation Wireless St.Gallen als erster Schritt in Richtung eines strahlungsarmen Mobilfunks in der Stadt St.Gallen,13
287,Überbauung Webersbleiche; Strassenanpassungen und Erneuerung der Elektrizitätsversorgung,16
